road	R602
km	0.038
type	RCC Girder Bridge
lrpName	LRPSa
name	Nazirganj Bus Stand Bridge
length	25.1
condition	A
structureNr	119479
est cost	0
roadName	Nazirganj at R601 to Nazirganj Ferry Ghat Road
chainage	0.038
width	
constructionYear	
spans	
zone	Rajshahi
circle	Pabna
division	Pabna
sub-division	Pabna-1
lat	23.8399997 
lon	89.5302771 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119479&vRoadID=139&vSurveyYear=2013&vSubdivID=309
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119479&vRoadID=139&vSurveyYear=2013&vSubdivID=309
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119479&vRoadID=139&vSurveyYear=2013&vSubdivID=309
