road	R749
km	16.612
type	Slab Culvert
lrpName	LRP016c
name	.
length	1.49
condition	A
structureNr	105651
est cost	0
roadName	Darsana-Mujibnagar Road
chainage	16.612
width	10.2
constructionYear	1985
spans	1
zone	Khulna
circle	Jessore
division	Chuadanga
sub-division	Chuadanga
lat	23.599722222222223
lon	88.68805555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105651&vRoadID=155&vSurveyYear=2004&vSubdivID=591
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105651&vRoadID=155&vSurveyYear=2004&vSubdivID=591
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105651&vRoadID=155&vSurveyYear=2004&vSubdivID=591
