road	R203
km	57.066
type	Box Culvert
lrpName	LRP058f
name	NAKAL PARA BOX CULVERT
length	12.4
condition	C
structureNr	114116
est cost	0.49
roadName	Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road
chainage	57.066
width	6.4
constructionYear	1995
spans	3
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Bancharampur
lat	23.831083333333332
lon	90.94208333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114116&vRoadID=92&vSurveyYear=2004&vSubdivID=539
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114116&vRoadID=92&vSurveyYear=2004&vSubdivID=539
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114116&vRoadID=92&vSurveyYear=2004&vSubdivID=539
