road	R201
km	0.264
type	Slab Culvert
lrpName	LRPSa
name	TARABO CULVERT
length	3.3
condition	D
structureNr	113082
est cost	2.59
roadName	Tarabo-Demraghat Road
chainage	0.264
width	10.95
constructionYear	1964
spans	1
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Narayanganj-1
lat	23.72422222222222
lon	90.51108333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113082&vRoadID=90&vSurveyYear=2004&vSubdivID=520
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113082&vRoadID=90&vSurveyYear=2004&vSubdivID=520
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113082&vRoadID=90&vSurveyYear=2004&vSubdivID=520
