road	Z4610
km	0.644
type	RCC Girder Bridge
lrpName	LRPSd
name	GHORDOR / LAVA BRIDGE
length	5.8
condition	C
structureNr	105592
est cost	0.36
roadName	Nakla By-Pass Road
chainage	0.644
width	4
constructionYear	1987
spans	1
zone	Mymensingh
circle	Jamalpur
division	Sherpur
sub-division	Sherpur-1
lat	24.967805555555554
lon	90.21594444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105592&vRoadID=260&vSurveyYear=2004&vSubdivID=534
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105592&vRoadID=260&vSurveyYear=2004&vSubdivID=534
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105592&vRoadID=260&vSurveyYear=2004&vSubdivID=534
