road	Z1087
km	0.148
type	Slab Culvert
lrpName	LRPSb
name	MONTABARI SLAB CULVERT
length	1.7
condition	B
structureNr	113977
est cost	0.36
roadName	Sitakunda (Barabkunda)-Dala-Dalai-Hathazari (Katirhat) Road
chainage	0.148
width	6.6
constructionYear	1988
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Sitakunda
lat	22.581055555555555
lon	91.6811388888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113977&vRoadID=307&vSurveyYear=2004&vSubdivID=271
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113977&vRoadID=307&vSurveyYear=2004&vSubdivID=271
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113977&vRoadID=307&vSurveyYear=2004&vSubdivID=271
