road	Z4016
km	7.708
type	Baily with Steel Deck
lrpName	LRP007h
name	PARUTI BRIDGE
length	74
condition	C
structureNr	106058
est cost	0.08
roadName	Kalihati-Ratanganj-Shakipur Road
chainage	7.708
width	3.4
constructionYear	1987
spans	2
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Madhupur
lat	24.340416666666666
lon	90.04772222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106058&vRoadID=255&vSurveyYear=2004&vSubdivID=535
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106058&vRoadID=255&vSurveyYear=2004&vSubdivID=535
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106058&vRoadID=255&vSurveyYear=2004&vSubdivID=535
