road	Z1503
km	10.82
type	RCC Girder Bridge
lrpName	LRP010e
name	.
length	23
condition	B
structureNr	118129
est cost	0.1
roadName	Maricha (Timchhari)-Ukhia Dakbanglow Road
chainage	10.82
width	3.15
constructionYear	2001
spans	3
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	21.2595
lon	92.1443888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118129&vRoadID=331&vSurveyYear=2006&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118129&vRoadID=331&vSurveyYear=2006&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118129&vRoadID=331&vSurveyYear=2006&vSubdivID=863
