road	Z1503
km	1.79
type	Slab Culvert
lrpName	LRP001b
name	.
length	1.8
condition	A
structureNr	118100
est cost	0
roadName	Maricha (Timchhari)-Ukhia Dakbanglow Road
chainage	1.79
width	7.4
constructionYear	1992
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	21.305083333333336
lon	92.11322222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118100&vRoadID=331&vSurveyYear=2006&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118100&vRoadID=331&vSurveyYear=2006&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118100&vRoadID=331&vSurveyYear=2006&vSubdivID=863
