road	R302
km	5.272
type	Box Culvert
lrpName	LRP005c
name	MOLGAON
length	1.5
condition	A
structureNr	113077
est cost	0
roadName	Kaliganj Bazr Road
chainage	5.272
width	7.3
constructionYear	1995
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Tongi
lat	23.929194444444445
lon	90.60397222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113077&vRoadID=105&vSurveyYear=2004&vSubdivID=514
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113077&vRoadID=105&vSurveyYear=2004&vSubdivID=514
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113077&vRoadID=105&vSurveyYear=2004&vSubdivID=514
