road	R506
km	0.02
type	Baily with Steel Deck
lrpName	LRPSa
name	ARICHA -GORAI BAILEY WITH STEEL DECK
length	36.8
condition	C
structureNr	102268
est cost	0.32
roadName	Aricha (Barangail)-Ghior-Daulatpur-Tangail Road
chainage	0.02
width	3.47
constructionYear	2001
spans	1
zone	Dhaka
circle	Dhaka
division	Manikganj
sub-division	Manikganj
lat	23.851861111111113
lon	89.87197222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102268&vRoadID=123&vSurveyYear=2004&vSubdivID=515
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102268&vRoadID=123&vSurveyYear=2004&vSubdivID=515
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102268&vRoadID=123&vSurveyYear=2004&vSubdivID=515
