road	R856
km	0.043
type	Box Culvert
lrpName	LRPSa
name	.
length	10.05
condition	C
structureNr	107586
est cost	0.4
roadName	Noapara (Katakhali)-Fakirhat-Mollahat Road
chainage	0.043
width	7.87
constructionYear	1988
spans	2
zone	Khulna
circle	Khulna
division	Bagerhat
sub-division	Bagerhat-2
lat	22.740833333333335
lon	89.635
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107586&vRoadID=162&vSurveyYear=2004&vSubdivID=320
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107586&vRoadID=162&vSurveyYear=2004&vSubdivID=320
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107586&vRoadID=162&vSurveyYear=2004&vSubdivID=320
