road	Z1216
km	0.98
type	Box Culvert
lrpName	LRPSb
name	.
length	10.2
condition	A
structureNr	117040
est cost	0
roadName	Sultanpur-Chinair-Akhura Road
chainage	0.98
width	4.2
constructionYear	1999
spans	2
zone	Comilla
circle	Comilla
division	Brahmanbaria
sub-division	Brahmanbaria
lat	23.88861111111111
lon	91.14336111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117040&vRoadID=454&vSurveyYear=2006&vSubdivID=540
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117040&vRoadID=454&vSurveyYear=2006&vSubdivID=540
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117040&vRoadID=454&vSurveyYear=2006&vSubdivID=540
