road	R114
km	43.902
type	Slab Culvert
lrpName	LRP044g
name	HATUVANGA SUB MARGE
length	1
condition	A
structureNr	105292
est cost	0
roadName	Nayapur-Araihazar-Narsingdi-Raipura Road
chainage	43.902
width	7
constructionYear	1994
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.962916666666665
lon	90.81994444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105292&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105292&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105292&vRoadID=71&vSurveyYear=2004&vSubdivID=522
