road	R114
km	45.619
type	Slab Culvert
lrpName	LRP046f
name	SHERPUR SUB MARGE
length	1
condition	A
structureNr	105306
est cost	0
roadName	Nayapur-Araihazar-Narsingdi-Raipura Road
chainage	45.619
width	4.1
constructionYear	1992
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.97347222222222
lon	90.81116666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105306&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105306&vRoadID=71&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105306&vRoadID=71&vSurveyYear=2004&vSubdivID=522
