road	N804
km	0.468
type	Box Culvert
lrpName	LRPSb
name	.
length	13.3
condition	A
structureNr	110073
est cost	0
roadName	Bhanga-Faridpur (Goalchamot) Road
chainage	0.468
width	9.8
constructionYear	1999
spans	2
zone	Gopalganj
circle	Faridpur
division	Faridpur
sub-division	Faridpur-2
lat	23.39361111111111
lon	89.98138888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110073&vRoadID=63&vSurveyYear=2004&vSubdivID=341
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110073&vRoadID=63&vSurveyYear=2004&vSubdivID=341
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110073&vRoadID=63&vSurveyYear=2004&vSubdivID=341
