road	N804
km	3.855
type	RCC Girder Bridge
lrpName	LRP003e
name	.
length	13.7
condition	B
structureNr	110080
est cost	0.005
roadName	Bhanga-Faridpur (Goalchamot) Road
chainage	3.855
width	7.3
constructionYear	1987
spans	1
zone	Gopalganj
circle	Faridpur
division	Faridpur
sub-division	Faridpur-2
lat	23.418055555555558
lon	89.96222222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110080&vRoadID=63&vSurveyYear=2004&vSubdivID=341
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110080&vRoadID=63&vSurveyYear=2004&vSubdivID=341
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110080&vRoadID=63&vSurveyYear=2004&vSubdivID=341
