road	N403
km	0.357
type	RCC Girder Bridge
lrpName	LRPSa
name	Kauchapara Bridge
length	12.45
condition	C
structureNr	121838
est cost	0.059
roadName	Mirzapur Town old Section Road
chainage	0.357
width	
constructionYear	
spans	
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Mirzapur
lat	24.0961941 
lon	90.1125833 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121838&vRoadID=1373&vSurveyYear=2013&vSubdivID=536
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121838&vRoadID=1373&vSurveyYear=2013&vSubdivID=536
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121838&vRoadID=1373&vSurveyYear=2013&vSubdivID=536
