road	R680
km	0.739
type	Slab Culvert
lrpName	LRPSa
name	Sluice gate
length	3.7
condition	A
structureNr	100944
est cost	0
roadName	Rajshahi-Godagari-Nawabganj Road
chainage	0.739
width	9
constructionYear	1965
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-2
lat	24.375833333333333
lon	88.55472222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100944&vRoadID=142&vSurveyYear=2004&vSubdivID=304
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100944&vRoadID=142&vSurveyYear=2004&vSubdivID=304
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100944&vRoadID=142&vSurveyYear=2004&vSubdivID=304
