road	Z8412
km	0.93
type	Slab Culvert
lrpName	LRPSc
name	.
length	7
condition	B
structureNr	116642
est cost	0.05
roadName	Bajunia-Gaindasur Road
chainage	0.93
width	4.9
constructionYear	1999
spans	1
zone	Gopalganj
circle	Gopalganj
division	Gopalganj
sub-division	Gopalganj
lat	23.028888888888886
lon	89.92555555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=116642&vRoadID=420&vSurveyYear=2006&vSubdivID=343
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=116642&vRoadID=420&vSurveyYear=2006&vSubdivID=343
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=116642&vRoadID=420&vSurveyYear=2006&vSubdivID=343
