road	Z1133
km	8.44
type	Slab Culvert
lrpName	LRP008g
name	.
length	1.1
condition	A
structureNr	118038
est cost	0
roadName	Whykhong-Shaplapur Road
chainage	8.44
width	5.5
constructionYear	1999
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	21.080555555555556
lon	92.1426388888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118038&vRoadID=345&vSurveyYear=2006&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118038&vRoadID=345&vSurveyYear=2006&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118038&vRoadID=345&vSurveyYear=2006&vSubdivID=863
