road	Z2823
km	11.752
type	Box Culvert
lrpName	LRP011g
name	HAZIGI CUL
length	3
condition	A
structureNr	107207
est cost	0
roadName	Kulaura-Juri-Fultala Road
chainage	11.752
width	7.4
constructionYear	1998
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.498833333333334
lon	92.13583333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107207&vRoadID=439&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107207&vRoadID=439&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107207&vRoadID=439&vSurveyYear=2004&vSubdivID=553
