road	Z5857
km	0.715
type	Slab Culvert
lrpName	LRPSc
name	.
length	2
condition	B
structureNr	115633
est cost	0.4
roadName	Fulbari-Parbatipur Road
chainage	0.715
width	7.2
constructionYear	1989
spans	1
zone	Rangpur
circle	Dinajpur
division	Dinajpur
sub-division	Phulbari
lat	25.505472222222224
lon	88.95225
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115633&vRoadID=670&vSurveyYear=2006&vSubdivID=297
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115633&vRoadID=670&vSurveyYear=2006&vSubdivID=297
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115633&vRoadID=670&vSurveyYear=2006&vSubdivID=297
