road	Z1053
km	16.785
type	RCC Girder Bridge
lrpName	LRP016d
name	HOMKA BRIDGE
length	8.4
condition	B
structureNr	106002
est cost	0.6
roadName	Gouripur-Homna Road
chainage	16.785
width	6.5
constructionYear	1967
spans	1
zone	Comilla
circle	Comilla
division	Comilla
sub-division	Gouripur
lat	23.674833333333336
lon	90.77980555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106002&vRoadID=457&vSurveyYear=2004&vSubdivID=544
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106002&vRoadID=457&vSurveyYear=2004&vSubdivID=544
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106002&vRoadID=457&vSurveyYear=2004&vSubdivID=544
