road	N803
km	0.375
type	RCC Girder Bridge
lrpName	LRPsb
name	Alipur Bridge
length	105.92
condition	B
structureNr	109974
est cost	0.7
roadName	Faridpur Town Old section (Alipur-Faridpur-SS Ghat) Town
chainage	0.375
width	13.5
constructionYear	1991
spans	3
zone	Gopalganj
circle	Faridpur
division	Faridpur
sub-division	Faridpur-1
lat	23.602777777777778
lon	89.82888888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109974&vRoadID=62&vSurveyYear=2004&vSubdivID=340
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109974&vRoadID=62&vSurveyYear=2004&vSubdivID=340
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109974&vRoadID=62&vSurveyYear=2004&vSubdivID=340
