road	R251
km	0.641
type	RCC Girder Bridge
lrpName	LRPSa
name	Khasi Khal Bridge
length	24.97
condition	A
structureNr	120733
est cost	0
roadName	Golapganj-Dhaka Dakhin-Baraigram-Vadeswar Road
chainage	0.641
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Golapganj
lat	24.8541944 
lon	92.0183049 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120733&vRoadID=100&vSurveyYear=2013&vSubdivID=562
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120733&vRoadID=100&vSurveyYear=2013&vSubdivID=562
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120733&vRoadID=100&vSurveyYear=2013&vSubdivID=562
