road	N518
km	0.513
type	Box Culvert
lrpName	LRPSc
name	.
length	1.85
condition	A
structureNr	109849
est cost	0
roadName	Sayedpur Town Old Section (Sutkir More-Sonapukur)
chainage	0.513
width	27.25
constructionYear	1996
spans	1
zone	Rangpur
circle	Dinajpur
division	Nilphamari
sub-division	Nilphamari
lat	25.779722222222222
lon	88.91055555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109849&vRoadID=45&vSurveyYear=2004&vSubdivID=300
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109849&vRoadID=45&vSurveyYear=2004&vSubdivID=300
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109849&vRoadID=45&vSurveyYear=2004&vSubdivID=300
