road	Z8711
km	0.855
type	Baily with Steel Deck
lrpName	LRPSf
name	Bhubenaswar bridge
length	36.06
condition	C
structureNr	120883
est cost	7.86
roadName	Bhandaria-Banaihat Road
chainage	0.855
width	
constructionYear	
spans	
zone	Barisal
circle	Barisal
division	Pirojpur
sub-division	Kawkhali
lat	
lon	
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120883&vRoadID=784&vSurveyYear=2013&vSubdivID=339
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120883&vRoadID=784&vSurveyYear=2013&vSubdivID=339
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120883&vRoadID=784&vSurveyYear=2013&vSubdivID=339
