road	Z1007
km	0.164
type	Truss with Steel Deck
lrpName	LRPSa
name	Aziznagar Bridge
length	30.92
condition	A
structureNr	121528
est cost	0
roadName	Aziznagar-Lama (Gazalia) Road
chainage	0.164
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	21.903 
lon	92.0628333 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121528&vRoadID=358&vSurveyYear=2013&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121528&vRoadID=358&vSurveyYear=2013&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121528&vRoadID=358&vSurveyYear=2013&vSubdivID=286
