road	R301
km	10.777
type	Baily with Steel Deck
lrpName	LRP010b
name	PUBAIL
length	117
condition	A
structureNr	113670
est cost	0
roadName	Tongi-Kaliganj-Gorashal-Pachdona Road
chainage	10.777
width	3.6
constructionYear	1990
spans	4
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Tongi
lat	23.934694444444446
lon	90.48936111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113670&vRoadID=104&vSurveyYear=2004&vSubdivID=514
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113670&vRoadID=104&vSurveyYear=2004&vSubdivID=514
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113670&vRoadID=104&vSurveyYear=2004&vSubdivID=514
