road	Z8701
km	3.806
type	Truss with Steel Deck
lrpName	LRP003d
name	Bottala Bridge
length	21.7
condition	C
structureNr	120876
est cost	3.416
roadName	Charkhali-Tushkhali-Mathbaria-Patharghata Road
chainage	3.806
width	
constructionYear	
spans	
zone	Barisal
circle	Barisal
division	Pirojpur
sub-division	Kawkhali
lat	22.4558056 
lon	89.9921941 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120876&vRoadID=794&vSurveyYear=2013&vSubdivID=339
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120876&vRoadID=794&vSurveyYear=2013&vSubdivID=339
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120876&vRoadID=794&vSurveyYear=2013&vSubdivID=339
