road	N1
km	383.098
type	Box Culvert
lrpName	LRP379b
name	HAMBIR GONA (1)
length	7.2
condition	B
structureNr	101012
est cost	0.4
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	383.098
width	11.5
constructionYear	1999
spans	2
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.41638888888889
lon	92.03533333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101012&vRoadID=1&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101012&vRoadID=1&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101012&vRoadID=1&vSurveyYear=2004&vSubdivID=282
