road	N1
km	300.406
type	Box Culvert
lrpName	LRP296b
name	AMIRABAD LOHAGORA BOX CULVERT
length	10
condition	A
structureNr	100664
est cost	0.3
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	300.406
width	11.8
constructionYear	1994
spans	2
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Dohazari
lat	22.020416666666666
lon	92.10152777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100664&vRoadID=1&vSurveyYear=2004&vSubdivID=280
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100664&vRoadID=1&vSurveyYear=2004&vSubdivID=280
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100664&vRoadID=1&vSurveyYear=2004&vSubdivID=280
