road	N1
km	287.487
type	Box Culvert
lrpName	LRP283d
name	NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT
length	20.4
condition	A
structureNr	100718
est cost	0
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	287.487
width	12.6
constructionYear	1994
spans	4
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Dohazari
lat	22.12063888888889
lon	92.072
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100718&vRoadID=1&vSurveyYear=2004&vSubdivID=280
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100718&vRoadID=1&vSurveyYear=2004&vSubdivID=280
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100718&vRoadID=1&vSurveyYear=2004&vSubdivID=280
