road	N1
km	18.093
type	PC Girder Bridge
lrpName	LRP018c
name	SONARKALI BRIDGE(R)
length	24.5
condition	B
structureNr	109804
est cost	0.79
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	18.093
width	9.1
constructionYear	2003
spans	1
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Vitikandi
lat	23.654
lon	90.57727777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109804&vRoadID=1&vSurveyYear=2004&vSubdivID=521
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109804&vRoadID=1&vSurveyYear=2004&vSubdivID=521
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109804&vRoadID=1&vSurveyYear=2004&vSubdivID=521
