road	N1
km	435.22
type	RCC Girder Bridge
lrpName	LRP431d
name	GIM - MOGARI BRIDGE
length	7.5
condition	C
structureNr	100884
est cost	0.31
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	435.22
width	7.2
constructionYear	1974
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	21.05927777777778
lon	92.22647222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100884&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100884&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100884&vRoadID=1&vSurveyYear=2004&vSubdivID=863
