road	N1
km	455.366
type	RCC Girder Bridge
lrpName	LRP451f
name	KARUMTOLI BRIDGE
length	23.7
condition	C
structureNr	101088
est cost	3
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	455.366
width	7.3
constructionYear	1965
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	20.89863888888889
lon	92.28280555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101088&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101088&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101088&vRoadID=1&vSurveyYear=2004&vSubdivID=863
