road	N1
km	453.95
type	RCC Girder Bridge
lrpName	LRP450a
name	KARUMTOLI
length	37.6
condition	B
structureNr	100936
est cost	0.35
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	453.95
width	10.3
constructionYear	1981
spans	3
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	20.90888888888889
lon	92.27511111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100936&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100936&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100936&vRoadID=1&vSurveyYear=2004&vSubdivID=863
