road	N1
km	456.549
type	RCC Girder Bridge
lrpName	LRP452j
name	NAITAN PARA RCC GIDER BRIDGE
length	23
condition	B
structureNr	100901
est cost	2.6
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	456.549
width	7.35
constructionYear	1974
spans	3
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	20.89322222222222
lon	92.29116666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100901&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100901&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100901&vRoadID=1&vSurveyYear=2004&vSubdivID=863
