road	N1
km	424.395
type	RCC Girder Bridge
lrpName	LRP420f
name	GIVATOLI RCC GIDER BRIDGE
length	32
condition	C
structureNr	100813
est cost	0.7
roadName	Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
chainage	424.395
width	7.3
constructionYear	1951
spans	3
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	21.136944444444445
lon	92.17372222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100813&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100813&vRoadID=1&vSurveyYear=2004&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100813&vRoadID=1&vSurveyYear=2004&vSubdivID=863
