road	R506
km	21.314
type	Box Culvert
lrpName	LRP021e
name	DOBURIA CULVERT
length	10.2
condition	C
structureNr	102355
est cost	1.9
roadName	Aricha (Barangail)-Ghior-Daulatpur-Tangail Road
chainage	21.314
width	7.8
constructionYear	1994
spans	2
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Tangail
lat	24.003666666666668
lon	89.84805555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102355&vRoadID=123&vSurveyYear=2004&vSubdivID=537
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102355&vRoadID=123&vSurveyYear=2004&vSubdivID=537
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102355&vRoadID=123&vSurveyYear=2004&vSubdivID=537
