road	R506
km	2.8
type	Baily with Steel Deck
lrpName	LRP002a
name	BRIDGE COULVERT
length	21.4
condition	D
structureNr	114384
est cost	56.175
roadName	Aricha (Barangail)-Ghior-Daulatpur-Tangail Road
chainage	2.8
width	3.5
constructionYear	1998
spans	1
zone	Mymensingh
circle	Jamalpur
division	Tangail
sub-division	Tangail
lat	23.87338888888889
lon	89.87880555555554
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114384&vRoadID=123&vSurveyYear=2004&vSubdivID=537
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114384&vRoadID=123&vSurveyYear=2004&vSubdivID=537
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114384&vRoadID=123&vSurveyYear=2004&vSubdivID=537
