road	N505
km	0.228
type	Box Culvert
lrpName	LRPSa
name	.
length	6.73
condition	A
structureNr	113770
est cost	0
roadName	Baderhat-Kazirhat (Latifpur) Road
chainage	0.228
width	9.56
constructionYear	1995
spans	1
zone	Rajshahi
circle	Pabna
division	Pabna
sub-division	Pabna-1
lat	23.891388888888887
lon	89.65472222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113770&vRoadID=33&vSurveyYear=2004&vSubdivID=309
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113770&vRoadID=33&vSurveyYear=2004&vSubdivID=309
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113770&vRoadID=33&vSurveyYear=2004&vSubdivID=309
