road	R211
km	0.102
type	Box Culvert
lrpName	LRPSb
name	ITAKHOLA BOX CULVERT
length	9.4
condition	A
structureNr	101777
est cost	0
roadName	Itakhola-Motkhola-Kotiadi Road
chainage	0.102
width	9
constructionYear	1992
spans	2
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	23.98086111111111
lon	90.73366666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101777&vRoadID=94&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101777&vRoadID=94&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101777&vRoadID=94&vSurveyYear=2004&vSubdivID=523
