road	Z8031
km	43.825
type	Box Culvert
lrpName	LRP043c
name	.
length	12.45
condition	C
structureNr	112384
est cost	40
roadName	Gouranadi-Paisarhat-Kotalipara-Gopalganj Road
chainage	43.825
width	6.15
constructionYear	1988
spans	2
zone	Gopalganj
circle	Gopalganj
division	Gopalganj
sub-division	Kotalipara
lat	23.02722222222222
lon	89.85
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112384&vRoadID=762&vSurveyYear=2004&vSubdivID=345
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112384&vRoadID=762&vSurveyYear=2004&vSubdivID=345
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112384&vRoadID=762&vSurveyYear=2004&vSubdivID=345
