road	N104
km	0.349
type	Slab Culvert
lrpName	LRPSa
name	Shasaugtachha culvert
length	3.65
condition	A
structureNr	114369
est cost	0
roadName	Feni-Noakhali Road
chainage	0.349
width	6.5
constructionYear	1980
spans	1
zone	Comilla
circle	Noakhali
division	Feni
sub-division	Feni-1
lat	23.469861111111108
lon	91.16291666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114369&vRoadID=4&vSurveyYear=2004&vSubdivID=545
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114369&vRoadID=4&vSurveyYear=2004&vSubdivID=545
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114369&vRoadID=4&vSurveyYear=2004&vSubdivID=545
