road	R587
km	5.495
type	Box Culvert
lrpName	LRP005b
name	.
length	2.47
condition	A
structureNr	109813
est cost	0
roadName	Thakurgaon Town Old Section (Bus Stand-Railway Station)
chainage	5.495
width	12.8
constructionYear	1992
spans	1
zone	Rangpur
circle	Dinajpur
division	Thakurgaon
sub-division	Thakurgaon
lat	26.0425
lon	88.42750000000001
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109813&vRoadID=137&vSurveyYear=2004&vSubdivID=298
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109813&vRoadID=137&vSurveyYear=2004&vSubdivID=298
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109813&vRoadID=137&vSurveyYear=2004&vSubdivID=298
