road	Z7489
km	6.015
type	RCC Girder Bridge
lrpName	LRP007a
name	Verakhali Bridge
length	6.89
condition	B
structureNr	118908
est cost	0.015
roadName	Chandpara-Talina-Jalalpur-Talsar Bazar-Drolaxmipur-Khalishpur Road
chainage	6.015
width	
constructionYear	
spans	
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.438583 
lon	89.0805271 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=118908&vRoadID=747&vSurveyYear=2013&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=118908&vRoadID=747&vSurveyYear=2013&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=118908&vRoadID=747&vSurveyYear=2013&vSubdivID=326
