road	R881
km	26.8
type	Box Culvert
lrpName	LRP026a
name	.
length	1.82
condition	B
structureNr	105606
est cost	0.06
roadName	Amtali-Khepupara-Kuakata Road
chainage	26.8
width	7.5
constructionYear	1987
spans	1
zone	Barisal
circle	Patuakhali
division	Patuakhali
sub-division	Patuakhali
lat	21.928055555555556
lon	90.16000000000001
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105606&vRoadID=175&vSurveyYear=2004&vSubdivID=862
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105606&vRoadID=175&vSurveyYear=2004&vSubdivID=862
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105606&vRoadID=175&vSurveyYear=2004&vSubdivID=862
