road	Z1603
km	40.98
type	Box Culvert
lrpName	LRP042g
name	.
length	7
condition	A
structureNr	117971
est cost	0
roadName	Khagrachhari-Dighinala-Bagaihat-Sajek Road
chainage	40.98
width	9
constructionYear	2006
spans	1
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Chandraghona
lat	23.32113888888889
lon	92.21169444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117971&vRoadID=365&vSurveyYear=2006&vSubdivID=568
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117971&vRoadID=365&vSurveyYear=2006&vSubdivID=568
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117971&vRoadID=365&vSurveyYear=2006&vSubdivID=568
