road	R110
km	12.897
type	RCC Girder Bridge
lrpName	LRP011c
name	VANDARY PULE
length	8.7
condition	B
structureNr	104971
est cost	0.558
roadName	Jatrabari-Demra-Shimrail-Narayanganj (Chasara) Road
chainage	12.897
width	8.85
constructionYear	1968
spans	1
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Narayanganj-1
lat	23.66638888888889
lon	90.51541666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104971&vRoadID=67&vSurveyYear=2004&vSubdivID=520
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104971&vRoadID=67&vSurveyYear=2004&vSubdivID=520
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104971&vRoadID=67&vSurveyYear=2004&vSubdivID=520
