road	R203
km	11.496
type	RCC Girder Bridge
lrpName	LRP011b
name	BOGADIH RCC GIDER BRIDGE
length	18
condition	C
structureNr	114122
est cost	0.545
roadName	Bhulta-Araihazar-Bancharampur-Nabinagar-Shibpur-Radhika Road
chainage	11.496
width	4
constructionYear	1992
spans	3
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Narayanganj-1
lat	23.78838888888889
lon	90.67538888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114122&vRoadID=92&vSurveyYear=2004&vSubdivID=520
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114122&vRoadID=92&vSurveyYear=2004&vSubdivID=520
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114122&vRoadID=92&vSurveyYear=2004&vSubdivID=520
