road	R180
km	1.721
type	Slab Culvert
lrpName	LRP001f
name	Alirjahal( 2)
length	8.4
condition	A
structureNr	114346
est cost	0
roadName	Laharpur-Jhinukmarket-Laboni More Road
chainage	1.721
width	4.6
constructionYear	1989
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.43852777777778
lon	91.99508333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114346&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114346&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114346&vRoadID=89&vSurveyYear=2004&vSubdivID=282
