road	R180
km	0.14
type	Box Culvert
lrpName	LRPSa
name	LAHURPARA STAND
length	7.2
condition	A
structureNr	114307
est cost	0
roadName	Laharpur-Jhinukmarket-Laboni More Road
chainage	0.14
width	12.7
constructionYear	1997
spans	2
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar-1
lat	21.427666666666667
lon	92.00186111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114307&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114307&vRoadID=89&vSurveyYear=2004&vSubdivID=282
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114307&vRoadID=89&vSurveyYear=2004&vSubdivID=282
