road	N3
km	0.284
type	Box Culvert
lrpName	LRPSa
name	BANANI
length	1.5
condition	B
structureNr	101411
est cost	0.12
roadName	Dhaka (Banani)-Joydebpur-Mymensingh Road
chainage	0.284
width	10.3
constructionYear	1961
spans	1
zone	Dhaka
circle	Dhaka
division	Dhaka
sub-division	Dhaka, Sub-division - 1
lat	23.81313888888889
lon	90.40394444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101411&vRoadID=19&vSurveyYear=2004&vSubdivID=511
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101411&vRoadID=19&vSurveyYear=2004&vSubdivID=511
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101411&vRoadID=19&vSurveyYear=2004&vSubdivID=511
