road	N3
km	65.232
type	Box Culvert
lrpName	LRP066b
name	AKHALIA HAGIR BARI BOX CULVERT
length	3
condition	A
structureNr	101479
est cost	0
roadName	Dhaka (Banani)-Joydebpur-Mymensingh Road
chainage	65.232
width	12.1
constructionYear	1976
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.36252777777778
lon	90.39222222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101479&vRoadID=19&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101479&vRoadID=19&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101479&vRoadID=19&vSurveyYear=2004&vSubdivID=529
