road	N108
km	12.68
type	RCC Girder Bridge
lrpName	LRP012g
name	SHOALOK BRIGE
length	7.9
condition	A
structureNr	101764
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	12.68
width	7.1
constructionYear	1985
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.14388888888889
lon	92.17677777777779
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101764&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101764&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101764&vRoadID=8&vSurveyYear=2004&vSubdivID=286
