road	N108
km	21.689
type	RCC Girder Bridge
lrpName	LRP021e
name	Miski Bridge
length	40.06
condition	A
structureNr	121557
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	21.689
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.1889441 
lon	92.2145278 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121557&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121557&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121557&vRoadID=8&vSurveyYear=2013&vSubdivID=286
