road	Z5706
km	0.71
type	Slab Culvert
lrpName	LRPSa
name	.
length	1.3
condition	C
structureNr	112154
est cost	0.11
roadName	Domar-Chilahati-Volaganj Road
chainage	0.71
width	5.13
constructionYear	1980
spans	1
zone	Rangpur
circle	Dinajpur
division	Nilphamari
sub-division	Nilphamari
lat	26.108333333333334
lon	88.85444444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112154&vRoadID=687&vSurveyYear=2004&vSubdivID=300
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112154&vRoadID=687&vSurveyYear=2004&vSubdivID=300
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112154&vRoadID=687&vSurveyYear=2004&vSubdivID=300
