road	Z2041
km	0.886
type	Box Culvert
lrpName	LRPSe
name	BOX CULVERT
length	4
condition	A
structureNr	114680
est cost	0
roadName	Narsingdi (Jongi Shibpur)-Raipura Road
chainage	0.886
width	4
constructionYear	1993
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	24.043444444444447
lon	90.87002777777776
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114680&vRoadID=206&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114680&vRoadID=206&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114680&vRoadID=206&vSurveyYear=2004&vSubdivID=523
