road	R760
km	49.478
type	RCC Bridge
lrpName	LRP049c
name	.
length	36.66
condition	B
structureNr	103981
est cost	0.04
roadName	Khulna-Chuknagar-Satkhira Road
chainage	49.478
width	7.18
constructionYear	1985
spans	6
zone	Khulna
circle	Khulna
division	Satkhira
sub-division	Satkhira-1
lat	22.766111111111112
lon	89.13805555555557
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=103981&vRoadID=158&vSurveyYear=2004&vSubdivID=321
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=103981&vRoadID=158&vSurveyYear=2004&vSubdivID=321
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=103981&vRoadID=158&vSurveyYear=2004&vSubdivID=321
