road	N703
km	0.141
type	Steel Beam & RCC Slab
lrpName	LRPSa
name	.
length	21.7
condition	A
structureNr	110558
est cost	0
roadName	Jhenaidah Town Old Section
chainage	0.141
width	5.8
constructionYear	1977
spans	3
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.54277777777778
lon	89.18916666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110558&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110558&vRoadID=52&vSurveyYear=2004&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110558&vRoadID=52&vSurveyYear=2004&vSubdivID=326
