road	N2
km	71.834
type	PC Box
lrpName	LRP072c
name	Bhairab Bridge
length	924
condition	A
structureNr	120007
est cost	0
roadName	Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road
chainage	71.834
width	
constructionYear	
spans	
zone	Mymensingh
circle	Mymensingh
division	Kishoreganj
sub-division	Bhairab
lat	24.0487508700361
lon	90.99177883935019
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120007&vRoadID=11&vSurveyYear=2013&vSubdivID=526
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120007&vRoadID=11&vSurveyYear=2013&vSubdivID=526
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120007&vRoadID=11&vSurveyYear=2013&vSubdivID=526
