road	Z1447
km	0.51
type	Slab Culvert
lrpName	LRPSd
name	.
length	1.4
condition	A
structureNr	117194
est cost	0
roadName	Ramganj By-Pass Road
chainage	0.51
width	9.8
constructionYear	2006
spans	1
zone	Comilla
circle	Noakhali
division	Laxmipur
sub-division	Ramgonj
lat	23.097277777777776
lon	90.86
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=117194&vRoadID=485&vSurveyYear=2006&vSubdivID=548
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=117194&vRoadID=485&vSurveyYear=2006&vSubdivID=548
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=117194&vRoadID=485&vSurveyYear=2006&vSubdivID=548
